bayesian	('bayesian',)
explicitly~hypotheses~test~under	('explicitly~test~hypotheses~under',)
assumption~under	('under~assumption',)
assumption~hypotheses~under	('hypotheses~under~assumption',)
assumption~hypotheses~test~under	('test~hypotheses~under~assumption',)
assumption~hypotheses	('assumption~hypotheses',)
false	('false',)
false~individual	('false~individual',)
false~hypotheses~individual	('hypotheses~false~individual',)
assumption~false~hypotheses~individual	('assumption~hypotheses~false~individual',)
individual~test	('individual~test',)
false~individual~test	('false~individual~test',)
false~hypotheses~individual~test	('hypotheses~false~individual~test',)
critical~test	('test~critical',)
critical~individual~test	('individual~test~critical',)
critical~false~individual~test	('false~individual~test~critical',)
experiment-wide	('experiment-wide',)
experiment-wide~value	('value~experiment-wide',)
critical~experiment-wide~value	('critical~value~experiment-wide',)
critical~experiment-wide~test~value	('test~critical~value~experiment-wide',)
critical~experiment-wide	('experiment-wide~critical',)
critical~value	('critical~value',)
equation~value	('value~equation',)
critical~equation~value	('critical~value~equation',)
critical~equation~experiment-wide~value	('experiment-wide~critical~value~equation',)
bonferroni~form	('form~bonferroni',)
bonferroni~equation~form	('equation~form~bonferroni',)
bonferroni~equation~form~value	('value~equation~form~bonferroni',)
bonferroni~form~inequalities	('form~inequalities~bonferroni',)
bonferroni~correction~inequalities	('inequalities~bonferroni~correction',)
correction~statistical	('correction~statistical',)
bonferroni~correction~statistical	('bonferroni~correction~statistical',)
bonferroni~correction~inequalities~statistical	('inequalities~bonferroni~correction~statistical',)
alpha~test	('test~alpha',)
alpha~statistical~test	('statistical~test~alpha',)
alpha~correction~statistical~test	('correction~statistical~test~alpha',)
alpha~test~value	('test~alpha~value',)
alpha~statistical~test~value	('statistical~test~alpha~value',)
alpha~hypothesis~test~value	('test~alpha~value~hypothesis',)
statistical~testing	('testing~statistical',)
hypothesis~statistical~testing~value	('value~hypothesis~testing~statistical',)
statistical~test~testing	('testing~statistical~test',)
hypothesis~statistical~test~testing	('hypothesis~testing~statistical~test',)
probabilities~various	('probabilities~various',)
classes~various	('various~classes',)
classes~probabilities~various	('probabilities~various~classes',)
classes~distribution	('classes~distribution',)
classes~distribution~various	('various~classes~distribution',)
classes~distribution~probabilities~various	('probabilities~various~classes~distribution',)
classes~distribution~observed	('classes~distribution~observed',)
classes~distribution~observed~various	('various~classes~distribution~observed',)
distribution~frequencies~observed	('distribution~observed~frequencies',)
classes~distribution~frequencies~observed	('classes~distribution~observed~frequencies',)
frequencies~quantity	('frequencies~quantity',)
frequencies~observed~quantity	('observed~frequencies~quantity',)
distribution~frequencies~observed~quantity	('distribution~observed~frequencies~quantity',)
measure~quantity	('quantity~measure',)
frequencies~measure~quantity	('frequencies~quantity~measure',)
frequencies~measure~observed~quantity	('observed~frequencies~quantity~measure',)
deviation~measure~quantity	('quantity~measure~deviation',)
deviation~frequencies~measure~quantity	('frequencies~quantity~measure~deviation',)
deviation~measure~sample	('measure~deviation~sample',)
deviation~measure~quantity~sample	('quantity~measure~deviation~sample',)
expectation~sample	('expectation~sample',)
deviation~expectation~sample	('deviation~expectation~sample',)
karl~size	('size~karl',)
karl~sample~size	('sample~size~karl',)
expectation~karl~sample~size	('expectation~sample~size~karl',)
karl~pearson	('karl~pearson',)
karl~pearson~size	('size~karl~pearson',)
karl~pearson~sample~size	('sample~size~karl~pearson',)
limiting~pearson	('pearson~limiting',)
karl~limiting~pearson	('karl~pearson~limiting',)
karl~limiting~pearson~size	('size~karl~pearson~limiting',)
distribution~limiting	('limiting~distribution',)
distribution~limiting~pearson	('pearson~limiting~distribution',)
distribution~karl~limiting~pearson	('karl~pearson~limiting~distribution',)
chi-squared~distribution~limiting	('limiting~distribution~chi-squared',)
chi-squared~distribution~limiting~pearson	('pearson~limiting~distribution~chi-squared',)
chi-squared~distribution~kenney	('chi-squared~distribution~kenney',)
pp~probability	('pp~probability',)
kenney~pp~probability	('kenney~pp~probability',)
distribution~kenney~pp~probability	('distribution~kenney~pp~probability',)
distribution~pp~probability	('pp~probability~distribution',)
assumes~distribution	('distribution~assumes',)
assumes~distribution~probability	('probability~distribution~assumes',)
assumes~distribution~pp~probability	('pp~probability~distribution~assumes',)
assumes~distribution~value	('distribution~assumes~value',)
assumes~distribution~probability~value	('probability~distribution~assumes~value',)
assumes~greater~value	('assumes~value~greater',)
assumes~distribution~greater~value	('distribution~assumes~value~greater',)
greater~measured	('greater~measured',)
greater~measured~value	('value~greater~measured',)
assumes~greater~measured~value	('assumes~value~greater~measured',)
measured~value	('measured~value',)
subtleties	('subtleties',)
subtleties~value	('value~subtleties',)
measured~subtleties~value	('measured~value~subtleties',)
greater~measured~subtleties~value	('greater~measured~value~subtleties',)
involved~subtleties	('subtleties~involved',)
involved~subtleties~value	('value~subtleties~involved',)
involved~measured~subtleties~value	('measured~value~subtleties~involved',)
involved~using	('involved~using',)
involved~subtleties~using	('subtleties~involved~using',)
involved~subtleties~using~value	('value~subtleties~involved~using',)
test~using	('using~test',)
involved~test~using	('involved~using~test',)
involved~subtleties~test~using	('subtleties~involved~using~test',)
fit~test	('test~fit',)
fit~test~using	('using~test~fit',)
fit~involved~test~using	('involved~using~test~fit',)
curve~kenney	('curve~kenney',)
curve~fit~kenney	('fit~curve~kenney',)
curve~fit~kenney~test	('test~fit~curve~kenney',)
fitting~pp	('pp~fitting',)
fitting~kenney~pp	('kenney~pp~fitting',)
curve~fitting~kenney~pp	('curve~kenney~pp~fitting',)
one-parameter	('one-parameter',)
fitting~one-parameter	('fitting~one-parameter',)
fitting~one-parameter~pp	('pp~fitting~one-parameter',)
fitting~kenney~one-parameter~pp	('kenney~pp~fitting~one-parameter',)
one-parameter~solution	('one-parameter~solution',)
fitting~one-parameter~solution	('fitting~one-parameter~solution',)
fitting~one-parameter~pp~solution	('pp~fitting~one-parameter~solution',)
solution~using	('solution~using',)
one-parameter~solution~using	('one-parameter~solution~using',)
fitting~one-parameter~solution~using	('fitting~one-parameter~solution~using',)
best-fit~using	('using~best-fit',)
best-fit~solution~using	('solution~using~best-fit',)
best-fit~one-parameter~solution~using	('one-parameter~solution~using~best-fit',)
best-fit~parameter	('best-fit~parameter',)
best-fit~parameter~using	('using~best-fit~parameter',)
best-fit~parameter~solution~using	('solution~using~best-fit~parameter',)
best-fit~parameter~value	('best-fit~parameter~value',)
best-fit~parameter~using~value	('using~best-fit~parameter~value',)
calculating	('calculating',)
calculating~value	('value~calculating',)
calculating~parameter~value	('parameter~value~calculating',)
best-fit~calculating~parameter~value	('best-fit~parameter~value~calculating',)
calculating~three	('calculating~three',)
calculating~three~value	('value~calculating~three',)
calculating~parameter~three~value	('parameter~value~calculating~three',)
plotting~point	('point~plotting',)
plotting~point~three	('three~point~plotting',)
calculating~plotting~point~three	('calculating~three~point~plotting',)
against~plotting	('plotting~against',)
against~plotting~point	('point~plotting~against',)
against~plotting~point~three	('three~point~plotting~against',)
against~parameter	('against~parameter',)
against~parameter~plotting	('plotting~against~parameter',)
against~parameter~plotting~point	('point~plotting~against~parameter',)
finding~point	('point~finding',)
finding~point~value	('value~point~finding',)
finding~parameter~point~value	('parameter~value~point~finding',)
finding~minimum	('finding~minimum',)
finding~minimum~point	('point~finding~minimum',)
finding~minimum~point~value	('value~point~finding~minimum',)
parabola	('parabola',)
fit~parabola	('parabola~fit',)
fit~minimum~parabola	('minimum~parabola~fit',)
finding~fit~minimum~parabola	('finding~minimum~parabola~fit',)
fit~through	('fit~through',)
fit~parabola~through	('parabola~fit~through',)
fit~minimum~parabola~through	('minimum~parabola~fit~through',)
cuzzi	('cuzzi',)
cuzzi~point	('point~cuzzi',)
cuzzi~point~through	('through~point~cuzzi',)
cuzzi~fit~point~through	('fit~through~point~cuzzi',)
chi~pp	('pp~chi',)
chi~cuzzi~pp	('cuzzi~pp~chi',)
chi~cuzzi~point~pp	('point~cuzzi~pp~chi',)
chi~pp~squared	('pp~chi~squared',)
chi~cuzzi~pp~squared	('cuzzi~pp~chi~squared',)
chi~pp~squared~test	('pp~chi~squared~test',)
squared~statistical~test	('squared~test~statistical',)
chi~squared~statistical~test	('chi~squared~test~statistical',)
chi~test	('test~chi',)
chi~statistical~test	('statistical~test~chi',)
distribution~squared	('squared~distribution',)
chi~distribution~squared	('chi~squared~distribution',)
chi~distribution~squared~test	('test~chi~squared~distribution',)
distribution~significance	('distribution~significance',)
distribution~significance~squared	('squared~distribution~significance',)
chi~distribution~significance~squared	('chi~squared~distribution~significance',)
significance~test	('significance~test',)
distribution~significance~test	('distribution~significance~test',)
distribution~significance~squared~test	('squared~distribution~significance~test',)
determination~test	('determination~test',)
equality~test	('test~equality',)
determination~equality~test	('determination~test~equality',)
equality~mean~two	('equality~mean~two',)
equality~mean~test~two	('test~equality~mean~two',)
normal~two	('two~normal',)
mean~normal~two	('mean~two~normal',)
equality~mean~normal~two	('equality~mean~two~normal',)
different~distribution~normal	('normal~distribution~different',)
different~distribution~normal~two	('two~normal~distribution~different',)
exact~sample	('sample~exact',)
exact~sample~variance	('variance~sample~exact',)
different~exact~sample~variance	('different~variance~sample~exact',)
exact~test	('exact~test',)
exact~sample~test	('sample~exact~test',)
exact~sample~test~variance	('variance~sample~exact~test',)
test~unique	('test~unique',)
exact~test~unique	('exact~test~unique',)
exact~sample~test~unique	('sample~exact~test~unique',)
answer	('answer',)
answer~unique	('unique~answer',)
answer~test~unique	('test~unique~answer',)
answer~exact~test~unique	('exact~test~unique~answer',)
answer~because	('answer~because',)
answer~because~unique	('unique~answer~because',)
answer~because~test~unique	('test~unique~answer~because',)
because~use	('because~use',)
answer~because~use	('answer~because~use',)
answer~because~unique~use	('unique~answer~because~use',)
data~exist	('data~exist',)
data~exist~use	('use~data~exist',)
because~data~exist~use	('because~use~data~exist',)
approximate~exist	('exist~approximate',)
approximate~data~exist	('data~exist~approximate',)
approximate~data~exist~use	('use~data~exist~approximate',)
test~use	('test~use',)
approximate~test~use	('approximate~test~use',)
approximate~exist~test~use	('exist~approximate~test~use',)
data~fisher	('data~fisher',)
data~fisher~use	('use~data~fisher',)
data~fisher~test~use	('test~use~data~fisher',)
behrens	('behrens',)
behrens~fisher	('fisher~behrens',)
behrens~data~fisher	('data~fisher~behrens',)
behrens~data~fisher~use	('use~data~fisher~behrens',)
behrens~problem	('behrens~problem',)
behrens~fisher~problem	('fisher~behrens~problem',)
behrens~data~fisher~problem	('data~fisher~behrens~problem',)
behrens~problem~statistical	('behrens~problem~statistical',)
behrens~fisher~problem~statistical	('fisher~behrens~problem~statistical',)
normal~test	('test~normal',)
normal~statistical~test	('statistical~test~normal',)
normal~problem~statistical~test	('problem~statistical~test~normal',)
distribution~normal~test	('test~normal~distribution',)
distribution~normal~statistical~test	('statistical~test~normal~distribution',)
exact~fisher	('fisher~exact',)
exact~fisher~test	('fisher~exact~test',)
exact~statistical~test	('exact~test~statistical',)
exact~fisher~statistical~test	('fisher~exact~test~statistical',)
nonrandom	('nonrandom',)
nonrandom~test	('test~nonrandom',)
nonrandom~statistical~test	('statistical~test~nonrandom',)
association~two	('association~two',)
association~nonrandom~two	('nonrandom~association~two',)
association~nonrandom~test~two	('test~nonrandom~association~two',)
categorical~two	('two~categorical',)
association~categorical~two	('association~two~categorical',)
association~categorical~nonrandom~two	('nonrandom~association~two~categorical',)
exist~variable	('variable~exist',)
categorical~exist~variable	('categorical~variable~exist',)
categorical~exist~two~variable	('two~categorical~variable~exist',)
exist~two	('exist~two',)
exist~two~variable	('variable~exist~two',)
observed~variable	('variable~observed',)
observed~two~variable	('two~variable~observed',)
exist~observed~two~variable	('exist~two~variable~observed',)
form~respectively	('respectively~form',)
form~respectively~state	('state~respectively~form',)
form~observed~respectively~state	('observed~state~respectively~form',)
entries~form~matrix	('form~matrix~entries',)
entries~form~matrix~respectively	('respectively~form~matrix~entries',)
entries~represent	('entries~represent',)
entries~matrix~represent	('matrix~entries~represent',)
entries~form~matrix~represent	('form~matrix~entries~represent',)
number~represent	('represent~number',)
entries~number~represent	('entries~represent~number',)
entries~matrix~number~represent	('matrix~entries~represent~number',)
calculate~number~observation	('number~observation~calculate',)
calculate~number~observation~represent	('represent~number~observation~calculate',)
calculate~row	('calculate~row',)
calculate~observation~row	('observation~calculate~row',)
calculate~number~observation~row	('number~observation~calculate~row',)
calculate~column~row	('calculate~row~column',)
calculate~column~observation~row	('observation~calculate~row~column',)
respectively~total	('respectively~total',)
respectively~sum~total	('sum~respectively~total',)
column~respectively~sum~total	('column~sum~respectively~total',)
sum~total	('total~sum',)
calculate~matrix	('matrix~calculate',)
calculate~matrix~sum	('sum~matrix~calculate',)
calculate~matrix~sum~total	('total~sum~matrix~calculate',)
calculate~conditional	('calculate~conditional',)
calculate~conditional~matrix	('matrix~calculate~conditional',)
calculate~conditional~matrix~sum	('sum~matrix~calculate~conditional',)
conditional~getting~probability	('conditional~probability~getting',)
calculate~conditional~getting~probability	('calculate~conditional~probability~getting',)
actual~getting	('getting~actual',)
actual~getting~probability	('probability~getting~actual',)
actual~conditional~getting~probability	('conditional~probability~getting~actual',)
actual~matrix	('actual~matrix',)
actual~getting~matrix	('getting~actual~matrix',)
actual~getting~matrix~probability	('probability~getting~actual~matrix',)
matrix~particular	('matrix~particular',)
actual~matrix~particular	('actual~matrix~particular',)
actual~getting~matrix~particular	('getting~actual~matrix~particular',)
particular~row	('particular~row',)
matrix~particular~row	('matrix~particular~row',)
actual~matrix~particular~row	('actual~matrix~particular~row',)
column~particular~row	('particular~row~column',)
column~matrix~particular~row	('matrix~particular~row~column',)
multivariate~sum	('sum~multivariate',)
column~multivariate~sum	('column~sum~multivariate',)
column~multivariate~row~sum	('row~column~sum~multivariate',)
generalization~multivariate	('multivariate~generalization',)
generalization~multivariate~sum	('sum~multivariate~generalization',)
column~generalization~multivariate~sum	('column~sum~multivariate~generalization',)
hypergeometric~probability	('hypergeometric~probability',)
generalization~hypergeometric~probability	('generalization~hypergeometric~probability',)
generalization~hypergeometric~multivariate~probability	('multivariate~generalization~hypergeometric~probability',)
find~function	('function~find',)
find~function~hypergeometric~probability	('hypergeometric~probability~function~find',)
find~possible	('find~possible',)
find~function~possible	('function~find~possible',)
find~function~possible~probability	('probability~function~find~possible',)
matrices~nonnegative	('matrices~nonnegative',)
matrices~nonnegative~possible	('possible~matrices~nonnegative',)
find~matrices~nonnegative~possible	('find~possible~matrices~nonnegative',)
consistent~integer	('integer~consistent',)
consistent~integer~nonnegative	('nonnegative~integer~consistent',)
consistent~integer~matrices~nonnegative	('matrices~nonnegative~integer~consistent',)
consistent~row	('consistent~row',)
consistent~integer~row	('integer~consistent~row',)
consistent~integer~nonnegative~row	('nonnegative~integer~consistent~row',)
column~consistent~row	('consistent~row~column',)
column~consistent~integer~row	('integer~consistent~row~column',)
calculate~one	('one~calculate',)
calculate~one~sum	('sum~one~calculate',)
calculate~column~one~sum	('column~sum~one~calculate',)
calculate~conditional~one	('one~calculate~conditional',)
calculate~conditional~one~sum	('sum~one~calculate~conditional',)
probability~using	('probability~using',)
conditional~probability~using	('conditional~probability~using',)
calculate~conditional~probability~using	('calculate~conditional~probability~using',)
sum~using	('using~sum',)
probability~sum~using	('probability~using~sum',)
conditional~probability~sum~using	('conditional~probability~using~sum',)
probabilities~sum~using	('using~sum~probabilities',)
probabilities~probability~sum~using	('probability~using~sum~probabilities',)
ordered~table	('table~ordered',)
ordered~table~test	('test~table~ordered',)
ordered~p-value~table~test	('p-value~test~table~ordered',)
criterion~ordered	('ordered~criterion',)
criterion~ordered~table	('table~ordered~criterion',)
criterion~ordered~table~test	('test~table~ordered~criterion',)
dependence~those	('dependence~those',)
dependence~measure~those	('measure~dependence~those',)
criterion~dependence~measure~those	('criterion~measure~dependence~those',)
represent~table	('table~represent',)
represent~table~those	('those~table~represent',)
dependence~represent~table~those	('dependence~those~table~represent',)
equal~represent	('represent~equal',)
equal~represent~table	('table~represent~equal',)
equal~represent~table~those	('those~table~represent~equal',)
equal~greater~represent	('represent~equal~greater',)
equal~greater~represent~table	('table~represent~equal~greater',)
deviation~equal~greater	('equal~greater~deviation',)
deviation~equal~greater~represent	('represent~equal~greater~deviation',)
deviation~independence	('deviation~independence',)
deviation~greater~independence	('greater~deviation~independence',)
deviation~equal~greater~independence	('equal~greater~deviation~independence',)
independence~observed	('independence~observed',)
deviation~independence~observed	('deviation~independence~observed',)
deviation~greater~independence~observed	('greater~deviation~independence~observed',)
independence~observed~table	('independence~observed~table',)
deviation~independence~observed~table	('deviation~independence~observed~table',)
one~probabilities	('one~probabilities',)
one~probabilities~table	('table~one~probabilities',)
observed~one~probabilities~table	('observed~table~one~probabilities',)
added~probabilities	('probabilities~added',)
added~one~probabilities	('one~probabilities~added',)
added~one~probabilities~table	('table~one~probabilities~added',)
together~variety	('together~variety',)
added~together~variety	('added~together~variety',)
added~probabilities~together~variety	('probabilities~added~together~variety',)
criteria~variety	('variety~criteria',)
criteria~together~variety	('together~variety~criteria',)
added~criteria~together~variety	('added~together~variety~criteria',)
criteria~measure	('criteria~measure',)
criteria~measure~variety	('variety~criteria~measure',)
criteria~measure~together~variety	('together~variety~criteria~measure',)
case~one	('case~one',)
case~dependence~one	('dependence~case~one',)
case~dependence~measure~one	('measure~dependence~case~one',)
fisher~one	('one~fisher',)
case~fisher~one	('case~one~fisher',)
case~dependence~fisher~one	('dependence~case~one~fisher',)
looked	('looked',)
fisher~looked	('fisher~looked',)
fisher~looked~one	('one~fisher~looked',)
case~fisher~looked~one	('case~one~fisher~looked',)
he~looked	('looked~he',)
fisher~he~looked	('fisher~looked~he',)
fisher~he~looked~one	('one~fisher~looked~he',)
developed~he	('he~developed',)
developed~he~looked	('looked~he~developed',)
developed~fisher~he~looked	('fisher~looked~he~developed',)
developed~exact	('developed~exact',)
developed~exact~he	('he~developed~exact',)
developed~exact~he~looked	('looked~he~developed~exact',)
either~test	('test~either',)
either~exact~test	('exact~test~either',)
developed~either~exact~test	('developed~exact~test~either',)
either~pearson	('either~pearson',)
either~pearson~test	('test~either~pearson',)
either~exact~pearson~test	('exact~test~either~pearson',)
chi-square	('chi-square',)
chi-square~pearson	('pearson~chi-square',)
chi-square~either~pearson	('either~pearson~chi-square',)
chi-square~either~pearson~test	('test~either~pearson~chi-square',)
chi-square~difference	('chi-square~difference',)
chi-square~difference~pearson	('pearson~chi-square~difference',)
chi-square~difference~either~pearson	('either~pearson~chi-square~difference',)
equivalent~typically	('equivalent~typically',)
equivalent~proportion~typically	('proportion~equivalent~typically',)
difference~equivalent~proportion~typically	('difference~proportion~equivalent~typically',)
other~typically	('typically~other',)
equivalent~other~typically	('equivalent~typically~other',)
equivalent~other~proportion~typically	('proportion~equivalent~typically~other',)
likelihood-ratio-test	('likelihood-ratio-test',)
likelihood-ratio-test~other	('likelihood-ratio-test~other',)
association~likelihood-ratio-test~other	('association~likelihood-ratio-test~other',)
association~likelihood-ratio-test~measure~other	('measure~association~likelihood-ratio-test~other',)
measure~typically	('measure~typically',)
measure~other~typically	('other~measure~typically',)
likelihood-ratio-test~measure~other~typically	('likelihood-ratio-test~other~measure~typically',)
association~typically	('typically~association',)
association~measure~typically	('measure~typically~association',)
association~measure~other~typically	('other~measure~typically~association',)
association~contingency	('association~contingency',)
association~contingency~typically	('typically~association~contingency',)
association~contingency~measure~typically	('measure~typically~association~contingency',)
table~test	('table~test',)
association~contingency~table~test	('association~contingency~table~test',)
most~test	('test~most',)
most~table~test	('table~test~most',)
contingency~most~table~test	('contingency~table~test~most',)
applied~most~test	('test~most~applied',)
applied~most~table~test	('table~test~most~applied',)
computationally~matrices	('matrices~computationally',)
applied~computationally~matrices	('applied~matrices~computationally',)
applied~computationally~matrices~most	('most~applied~matrices~computationally',)
computationally~unwieldy	('computationally~unwieldy',)
computationally~matrices~unwieldy	('matrices~computationally~unwieldy',)
applied~computationally~matrices~unwieldy	('applied~matrices~computationally~unwieldy',)
large~unwieldy	('unwieldy~large',)
computationally~large~unwieldy	('computationally~unwieldy~large',)
computationally~large~matrices~unwieldy	('matrices~computationally~unwieldy~large',)
larger~table	('table~larger',)
larger~table~unwieldy	('unwieldy~table~larger',)
difference~larger	('larger~difference',)
difference~larger~table	('table~larger~difference',)
difference~proportion	('difference~proportion',)
difference~larger~proportion	('larger~difference~proportion',)
difference~larger~proportion~table	('table~larger~difference~proportion',)
no~proportion	('proportion~no',)
difference~no~proportion	('difference~proportion~no',)
difference~larger~no~proportion	('larger~difference~proportion~no',)
longer~no	('no~longer',)
longer~no~proportion	('proportion~no~longer',)
difference~longer~no~proportion	('difference~proportion~no~longer',)
longer~other	('longer~other',)
longer~no~other	('no~longer~other',)
longer~no~other~proportion	('proportion~no~longer~other',)
mentioned	('mentioned',)
measure~mentioned	('measure~mentioned',)
measure~mentioned~other	('other~measure~mentioned',)
longer~measure~mentioned~other	('longer~other~measure~mentioned',)
above~mentioned	('mentioned~above',)
above~measure~mentioned	('measure~mentioned~above',)
above~measure~mentioned~other	('other~measure~mentioned~above',)
remain	('remain',)
above~remain	('above~remain',)
above~mentioned~remain	('mentioned~above~remain',)
above~measure~mentioned~remain	('measure~mentioned~above~remain',)
applicable	('applicable',)
applicable~remain	('remain~applicable',)
above~applicable~remain	('above~remain~applicable',)
above~applicable~mentioned~remain	('mentioned~above~remain~applicable',)
pearson~practice	('practice~pearson',)
applicable~pearson~practice	('applicable~practice~pearson',)
applicable~pearson~practice~remain	('remain~applicable~practice~pearson',)
pearson~practice~statistic	('practice~pearson~statistic',)
applicable~pearson~practice~statistic	('applicable~practice~pearson~statistic',)
most~statistic	('statistic~most',)
most~pearson~statistic	('pearson~statistic~most',)
most~pearson~practice~statistic	('practice~pearson~statistic~most',)
most~order	('most~order',)
most~order~statistic	('statistic~most~order',)
most~order~pearson~statistic	('pearson~statistic~most~order',)
case~table	('table~case',)
case~order~table	('order~table~case',)
case~most~order~table	('most~order~table~case',)
p-value~test	('p-value~test',)
matrix~p-value~test	('matrix~p-value~test',)
case~matrix~p-value~test	('case~matrix~p-value~test',)
computed~test	('test~computed',)
computed~p-value~test	('p-value~test~computed',)
computed~matrix~p-value~test	('matrix~p-value~test~computed',)
computed~sum	('computed~sum',)
computed~sum~test	('test~computed~sum',)
computed~p-value~sum~test	('p-value~test~computed~sum',)
computed~example~sum	('computed~sum~example',)
computed~example~sum~test	('test~computed~sum~example',)
application~example	('example~application',)
application~example~sum	('sum~example~application',)
application~computed~example~sum	('computed~sum~example~application',)
journal	('journal',)
journal~say	('journal~say',)
journal~say~test	('test~journal~say',)
application~journal~say~test	('application~test~journal~say',)
either~say	('say~either',)
either~journal~say	('journal~say~either',)
either~journal~say~test	('test~journal~say~either',)
either~mathematics	('either~mathematics',)
either~mathematics~say	('say~either~mathematics',)
either~journal~mathematics~say	('journal~say~either~mathematics',)
magazine	('magazine',)
number~science	('science~number',)
magazine~number~science	('magazine~science~number',)
magazine~mathematics~number~science	('mathematics~magazine~science~number',)
articles	('articles',)
articles~number	('number~articles',)
articles~number~science	('science~number~articles',)
articles~magazine~number~science	('magazine~science~number~articles',)
topics	('topics',)
articles~topics	('articles~topics',)
articles~number~topics	('number~articles~topics',)
articles~number~science~topics	('science~number~articles~topics',)
mathematics~topics	('topics~mathematics',)
articles~mathematics~topics	('articles~topics~mathematics',)
articles~mathematics~number~topics	('number~articles~topics~mathematics',)
biology	('biology',)
biology~mathematics	('mathematics~biology',)
biology~mathematics~topics	('topics~mathematics~biology',)
articles~biology~mathematics~topics	('articles~topics~mathematics~biology',)
appearing~biology	('biology~appearing',)
appearing~biology~mathematics	('mathematics~biology~appearing',)
appearing~biology~mathematics~topics	('topics~mathematics~biology~appearing',)
issue	('issue',)
appearing~issue	('appearing~issue',)
appearing~biology~issue	('biology~appearing~issue',)
appearing~biology~issue~mathematics	('mathematics~biology~appearing~issue',)
issue~one	('issue~one',)
appearing~issue~one	('appearing~issue~one',)
appearing~biology~issue~one	('biology~appearing~issue~one',)
journals	('journals',)
journals~mathematics	('journals~mathematics',)
journals~mathematics~one	('one~journals~mathematics',)
issue~journals~mathematics~one	('issue~one~journals~mathematics',)
five~magazine	('magazine~five',)
five~magazine~mathematics	('mathematics~magazine~five',)
five~journals~magazine~mathematics	('journals~mathematics~magazine~five',)
articles~five	('five~articles',)
articles~five~magazine	('magazine~five~articles',)
articles~five~magazine~mathematics	('mathematics~magazine~five~articles',)
articles~math	('articles~math',)
articles~five~math	('five~articles~math',)
articles~five~magazine~math	('magazine~five~articles~math',)
math~one	('math~one',)
articles~math~one	('articles~math~one',)
articles~five~math~one	('five~articles~math~one',)
none~science	('science~none',)
biology~none~science	('biology~science~none',)
math~none	('none~math',)
math~none~science	('science~none~math',)
biology~math~none~science	('biology~science~none~math',)
four~math	('math~four',)
four~math~none	('none~math~four',)
four~math~none~science	('science~none~math~four',)
biology~relevant	('biology~relevant',)
biology~four~relevant	('four~biology~relevant',)
biology~four~math~relevant	('math~four~biology~relevant',)
matrix~relevant	('relevant~matrix',)
biology~matrix~relevant	('biology~relevant~matrix',)
biology~four~matrix~relevant	('four~biology~relevant~matrix',)
computing~matrix	('matrix~computing',)
computing~matrix~relevant	('relevant~matrix~computing',)
biology~computing~matrix~relevant	('biology~relevant~matrix~computing',)
computing~other	('computing~other',)
computing~matrix~other	('matrix~computing~other',)
computing~matrix~other~relevant	('relevant~matrix~computing~other',)
other~possible	('other~possible',)
computing~other~possible	('computing~other~possible',)
computing~matrix~other~possible	('matrix~computing~other~possible',)
matrices~possible	('possible~matrices',)
matrices~other~possible	('other~possible~matrices',)
computing~matrices~other~possible	('computing~other~possible~matrices',)
matrices~s	('matrices~s',)
matrices~possible~s	('possible~matrices~s',)
matrices~other~possible~s	('other~possible~matrices~s',)
indeed~s	('s~indeed',)
indeed~matrices~s	('matrices~s~indeed',)
indeed~matrices~possible~s	('possible~matrices~s~indeed',)
indeed~sum	('indeed~sum',)
indeed~matrices~sum	('matrices~indeed~sum',)
required~sum	('required~sum',)
indeed~required~sum	('indeed~required~sum',)
less~sum	('sum~less',)
less~required~sum	('required~sum~less',)
equal~less~sum	('sum~less~equal',)
equal~less~required~sum	('required~sum~less~equal',)
because~equal	('equal~because',)
because~equal~less	('less~equal~because',)
because~equal~less~sum	('sum~less~equal~because',)
because~less	('because~less',)
case~statistically	('case~statistically',)
case~significant~statistically	('significant~case~statistically',)
case~less~significant~statistically	('less~significant~case~statistically',)
significant~statistically	('statistically~significant',)
association~significant	('significant~association',)
association~significant~statistically	('statistically~significant~association',)
association~case~significant~statistically	('case~statistically~significant~association',)
association~journal	('association~journal',)
association~journal~significant	('significant~association~journal',)
association~journal~significant~statistically	('statistically~significant~association~journal',)
journal~type	('journal~type',)
association~journal~type	('association~journal~type',)
association~journal~significant~type	('significant~association~journal~type',)
article	('article',)
article~type	('type~article',)
article~journal~type	('journal~type~article',)
article~association~journal~type	('association~journal~type~article',)
appearing~fisher	('appearing~fisher',)
appearing~article~fisher	('article~appearing~fisher',)
appearing~article~fisher~type	('type~article~appearing~fisher',)
appearing~exact~fisher	('appearing~fisher~exact',)
appearing~article~exact~fisher	('article~appearing~fisher~exact',)
appearing~exact~fisher~test	('appearing~fisher~exact~test',)
hotelling~test	('hotelling~test',)
hotelling~statistical~test	('hotelling~test~statistical',)
hotelling~t2~test	('test~hotelling~t2',)
hotelling~statistical~t2~test	('statistical~test~hotelling~t2',)
distribution~hotelling~t2~test	('test~hotelling~t2~distribution',)
proposition	('proposition',)
hypothesis~proposition	('hypothesis~proposition',)
consistent~proposition	('proposition~consistent',)
consistent~hypothesis~proposition	('hypothesis~proposition~consistent',)
been~consistent~data	('consistent~data~been',)
been~consistent~data~proposition	('proposition~consistent~data~been',)
neither	('neither',)
been~neither	('been~neither',)
been~data~neither	('data~been~neither',)
been~consistent~data~neither	('consistent~data~been~neither',)
neither~verified	('neither~verified',)
